model,accuracy,precision,recall,f1_score,auc_roc
Logistic Regression,0.6477389067845282,0.6472540801353921,0.6477389067845282,0.6472458483537122,0.7315483476458168
Random Forest,0.9833695407895723,0.9833826488016432,0.9833695407895723,0.9833713363994057,0.9992330369798561
Gradient Boosted Trees,0.9808724748420605,0.980872763050143,0.9808724748420605,0.9808713212094861,0.9990917177291406
